# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_exon_variant	variants_effect_protein_protein_contact	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABCC4	ABCC4	NM_001301830.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCC4	ABCC4	NM_005845.4		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC9	ABCC9	NM_005691.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC9	ABCC9	NM_020297.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NM_005050.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCD4	ABCD4	NR_003256.2		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACD	ACD	NM_001082486.1		0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ACD	ACD	NM_001082487.1		0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ACD	ACD	NM_022914.2		0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ACE2	ACE2	NM_021804.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACOT6	ACOT6	NM_001037162.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACOXL	ACOXL	NM_001142807.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACP7	ACP7	NM_001004318.2		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ACSL6	ACSL6	NM_001009185.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACSL6	ACSL6	NM_001205247.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACSL6	ACSL6	NM_001205248.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACSL6	ACSL6	NM_001205250.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACSL6	ACSL6	NM_001205251.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACSL6	ACSL6	NM_015256.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACSM2A	ACSM2A	NM_001308169.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACSM2A	ACSM2A	NM_001308172.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACSM2A	ACSM2A	NM_001308954.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACSM4	ACSM4	NM_001080454.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTC1	ACTC1	NM_005159.4		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTL8	ACTL8	NM_030812.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTRT1	ACTRT1	NM_138289.3		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ADAD2	ADAD2	NM_001145400.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAD2	ADAD2	NM_139174.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM18	ADAM18	NM_001190956.1		0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ADAM18	ADAM18	NM_014237.2		0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0
ADAM19	ADAM19	NM_033274.4		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADAM2	ADAM2	NM_001278113.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM2	ADAM2	NM_001278114.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM2	ADAM2	NM_001464.4		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM20	ADAM20	NM_003814.4		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM28	ADAM28	NM_001304351.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM28	ADAM28	NM_014265.5		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM28	ADAM28	NR_130710.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADAM29	ADAM29	NM_001130703.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM29	ADAM29	NM_001130704.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM29	ADAM29	NM_001130705.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM29	ADAM29	NM_001278125.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM29	ADAM29	NM_001278126.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM29	ADAM29	NM_001278127.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM29	ADAM29	NM_014269.4		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAM7	ADAM7	NM_003817.3		0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ADAMTS12	ADAMTS12	NM_030955.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTS16	ADAMTS16	NM_139056.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTS18	ADAMTS18	NM_199355.2		0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAMTS4	ADAMTS4	NM_005099.4		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTS7	ADAMTS7	NM_014272.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTS8	ADAMTS8	NM_007037.4		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAMTSL5	ADAMTSL5	NM_213604.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAR	ADAR	NM_001025107.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAR	ADAR	NM_001111.4		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAR	ADAR	NM_001193495.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAR	ADAR	NM_015840.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADAR	ADAR	NM_015841.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADARB1	ADARB1	NM_001112.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADARB1	ADARB1	NM_001160230.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADARB1	ADARB1	NM_015833.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADARB1	ADARB1	NM_015834.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADARB1	ADARB1	NR_027672.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADARB1	ADARB1	NR_027673.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADARB1	ADARB1	NR_027674.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADARB1	ADARB1	NR_073200.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADCK3	ADCK3	NM_020247.4		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADCY7	ADCY7	NM_001114.4		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADCY7	ADCY7	NM_001286057.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRB2	ADGRB2	NM_001294335.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRB2	ADGRB2	NM_001294336.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRB3	ADGRB3	NM_001704.2		1	0	2	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0
ADGRE1	ADGRE1	NM_001256252.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRE1	ADGRE1	NM_001256253.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRE1	ADGRE1	NM_001256254.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRE1	ADGRE1	NM_001256255.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRE1	ADGRE1	NM_001974.4		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADGRV1	ADGRV1	NM_032119.3		0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ADGRV1	ADGRV1	NR_003149.1		0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ADHFE1	ADHFE1	NM_144650.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADRA1B	ADRA1B	NM_000679.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ADSS	ADSS	NM_001126.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AGBL3	AGBL3	NM_178563.3		0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AGXT2	AGXT2	NM_001306173.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AGXT2	AGXT2	NM_031900.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AHNAK2	AHNAK2	NM_138420.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AK1	AK1	NM_000476.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AK5	AK5	NM_012093.3		0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AK5	AK5	NM_174858.2		0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AK8	AK8	NM_152572.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AKAP11	AKAP11	NM_016248.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AKAP4	AKAP4	NM_003886.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AKAP4	AKAP4	NM_139289.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AKAP6	AKAP6	NM_004274.4		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AKR1C3	AKR1C3	NM_001253908.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AKR1C3	AKR1C3	NM_001253909.1		0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
AKR1C3	AKR1C3	NM_003739.5		0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
AKR1D1	AKR1D1	NM_001190906.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AKR1D1	AKR1D1	NM_001190907.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AKR1D1	AKR1D1	NM_005989.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ALAS2	ALAS2	NM_000032.4		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ALAS2	ALAS2	NM_001037967.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ALAS2	ALAS2	NM_001037968.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ALDH1A2	ALDH1A2	NM_001206897.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ALDH1A2	ALDH1A2	NM_003888.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ALDH1A2	ALDH1A2	NM_170696.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ALDH1A2	ALDH1A2	NM_170697.2		0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ALG11	ALG11	NM_001004127.2		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALG11	ALG11	NR_036571.2		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ALG13	ALG13	NM_001099922.2		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ALG13	ALG13	NM_001257230.1		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ALG13	ALG13	NM_001257231.1		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ALG13	ALG13	NM_001257234.1		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ALG13	ALG13	NM_001257237.1		1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ALMS1	ALMS1	NM_015120.4		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ALPI	ALPI	NM_001631.4		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ALPK2	ALPK2	NM_052947.3		0	0	7	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
ALPP	ALPP	NM_001632.4		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AMBN	AMBN	NM_016519.5		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AMELX	AMELX	NM_001142.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AMELX	AMELX	NM_182680.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AMELX	AMELX	NM_182681.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AMER1	AMER1	NM_152424.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AMFR	AMFR	NM_001144.5		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AMHR2	AMHR2	NM_001164690.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AMHR2	AMHR2	NM_001164691.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AMHR2	AMHR2	NM_020547.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AMPD2	AMPD2	NM_001257360.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AMPD2	AMPD2	NM_001257361.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AMPD2	AMPD2	NM_001308170.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AMPD2	AMPD2	NM_004037.7		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AMPD2	AMPD2	NM_139156.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AMPD2	AMPD2	NM_203404.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AMZ1	AMZ1	NM_001284355.1		0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMZ1	AMZ1	NM_133463.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANGPT4	ANGPT4	NM_015985.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANK1	ANK1	NM_000037.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANK1	ANK1	NM_001142446.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANK1	ANK1	NM_020475.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANK1	ANK1	NM_020476.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANK1	ANK1	NM_020477.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANK3	ANK3	NM_001149.3		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ANK3	ANK3	NM_001204403.1		0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ANK3	ANK3	NM_001204404.1		0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ANK3	ANK3	NM_020987.3		0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ANKIB1	ANKIB1	NM_019004.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANKMY1	ANKMY1	NM_001282771.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANKMY1	ANKMY1	NM_001282780.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ANKMY1	ANKMY1	NM_001282781.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ANKMY1	ANKMY1	NM_001308375.1		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ANKMY1	ANKMY1	NM_016552.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANKMY1	ANKMY1	NM_017844.3		0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ANKRD10	ANKRD10	NM_017664.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANKRD10	ANKRD10	NR_104587.1		0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ANKRD30A	ANKRD30A	NM_052997.2		0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ANKRD45	ANKRD45	NM_198493.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANO2	ANO2	NM_001278596.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANO2	ANO2	NM_001278597.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ANO4	ANO4	NM_001286615.1		0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ANO4	ANO4	NM_001286616.1		0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ANO4	ANO4	NM_178826.3		0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ANO8	ANO8	NM_020959.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AP3B1	AP3B1	NM_001271769.1		0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AP3B1	AP3B1	NM_003664.4		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AP3B2	AP3B2	NM_001278511.1		0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0
AP3B2	AP3B2	NM_001278512.1		0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0
AP3B2	AP3B2	NM_004644.4		0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0
AP4B1-AS1	AP4B1-AS1	NR_037864.1		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AP4B1-AS1	AP4B1-AS1	NR_125965.1		0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
APOA1-AS	APOA1-AS	NR_126362.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
APOB	APOB	NM_000384.2		0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
APOBR	APOBR	NM_018690.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
APPL1	APPL1	NM_012096.2		1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
APRT	APRT	NM_000485.2		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
APRT	APRT	NM_001030018.1		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AQP8	AQP8	NM_001169.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARAP1	ARAP1	NM_001040118.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARAP1	ARAP1	NM_001135190.1		0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ARAP1	ARAP1	NM_015242.4		0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ARFIP1	ARFIP1	NM_001025593.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARFIP1	ARFIP1	NM_001025595.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARFIP1	ARFIP1	NM_001287431.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARFIP1	ARFIP1	NM_001287432.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARFIP1	ARFIP1	NM_001287433.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARFIP1	ARFIP1	NM_014447.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARGFX	ARGFX	NM_001012659.1		0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ARHGAP10	ARHGAP10	NM_024605.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARHGAP12	ARHGAP12	NM_001270695.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARHGAP12	ARHGAP12	NM_001270696.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARHGAP12	ARHGAP12	NM_001270697.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARHGAP12	ARHGAP12	NM_001270698.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARHGAP12	ARHGAP12	NM_001270699.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARHGAP12	ARHGAP12	NM_018287.6		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARHGAP23	ARHGAP23	NM_001199417.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARHGAP29	ARHGAP29	NM_004815.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARHGAP31	ARHGAP31	NM_020754.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ARHGAP33	ARHGAP33	NM_001172630.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARHGAP33	ARHGAP33	NM_052948.3		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARHGAP44	ARHGAP44	NM_014859.4		0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ARHGAP6	ARHGAP6	NM_001287242.1		0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ARHGAP6	ARHGAP6	NM_006125.2		0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ARHGAP6	ARHGAP6	NM_013423.2		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARHGAP6	ARHGAP6	NM_013427.2		0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ARHGAP6	ARHGAP6	NR_109776.1		0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
ARHGEF10	ARHGEF10	NM_001308152.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARHGEF10	ARHGEF10	NM_001308153.1		0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
